"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2025-01-06T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",32.04,"provisorisch"
"2025-01-06T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",21.48,"provisorisch"
"2025-01-06T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",28.33,"provisorisch"
"2025-01-06T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",43.95,"provisorisch"
"2025-01-06T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",7.67,"provisorisch"
"2025-01-06T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",4.38,"provisorisch"
"2025-01-06T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",79.17,"provisorisch"
"2025-01-06T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-06T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",11882.66,"provisorisch"
"2025-01-06T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",51.09,"provisorisch"
"2025-01-06T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",37.14,"provisorisch"
"2025-01-06T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",40.75,"provisorisch"
"2025-01-06T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",32.77,"provisorisch"
"2025-01-06T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",7.28,"provisorisch"
"2025-01-06T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",3.73,"provisorisch"
"2025-01-06T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",71.53,"provisorisch"
"2025-01-06T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-06T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",4.15,"provisorisch"
"2025-01-06T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",0.86,"provisorisch"
"2025-01-06T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",6.62,"provisorisch"
"2025-01-06T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",71.85,"provisorisch"
"2025-01-06T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",82.37,"provisorisch"
"2025-01-06T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-07T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1,"provisorisch"
"2025-01-07T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.19,"provisorisch"
"2025-01-07T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",5.7,"provisorisch"
"2025-01-07T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",1.38,"provisorisch"
"2025-01-07T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",8.79,"provisorisch"
"2025-01-07T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",68.93,"provisorisch"
"2025-01-07T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",4.1,"provisorisch"
"2025-01-07T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",2.21,"provisorisch"
"2025-01-07T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",76.64,"provisorisch"
"2025-01-07T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-07T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",6379.17,"provisorisch"
"2025-01-07T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",9.96,"provisorisch"
"2025-01-07T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",4.34,"provisorisch"
"2025-01-07T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",12.4,"provisorisch"
"2025-01-07T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",69.33,"provisorisch"
"2025-01-07T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",4.09,"provisorisch"
"2025-01-07T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",1.96,"provisorisch"
"2025-01-07T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",79.36,"provisorisch"
"2025-01-07T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-07T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",6511.18,"provisorisch"
"2025-01-07T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",20.38,"provisorisch"
